,epoch,GroundTruth,Prediction
0,40,from that hour dated one of the most sanguinary feuds in the history of the great trading company a feud which as we shall see was destined to live even unto the second generation,from the hour dated one  the most sanguinary fudes in the history of a great trating combany a fud which as we shall se was destined to live even onto the second generation
1,40,he says tide replied my uncle translating the danish word for my information,he says tied replied my uncle tranleing the danis ward for ma information
2,40,on the eleventh day we sighted cape portland over which towered mount myrdals yokul which the weather being clear we made out very readily,on the eleventh day we sighted cape portlan or which toward mountain miduals iocle whichs the weather being clear we made out very readily
3,40,the people must wait outside for there is no room for them in the palace,the peoplemass way outside for there is no grom for them in e talis
4,40,but men kept on fighting and robbing even while the rain was pouring down and the sea was coming up over the land,but men kept on fighting and rarbing even while the rain was pouring down and the sea was coming up over the land
5,40,he passed through one apartment after another where were ladies and gentlemen asleep in their chairs or standing,he passed through one apartdment after another where were ladies and gentleman is sleep and that cairs are standing
6,40,who may condemn his superstition,who may congamne the superstition
7,40,giving themselves up wholly to their grief they are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home,givin themselves upoly to their grief they are no lar certn o out in thet earhly possession and ofting give roail that they hav to the first commers even to their beds in their home
8,40,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times,iexpuaint enneo how this man that he was twenty for yeur resole that  must have been there when white man first came lust an from buffail an indian times
9,40,gradually relief came to all of us,gradually relieve came t all of us
10,40,there she owns a cottage or it may be a pigstye for all i know,there she ond to cottage por it may be a pig sty for all i know
11,40,we have all been giving mary ann presents and i suppose you mister whiting have been giving her something too,we have aban giving mary ane preisents and i suppose you mister widing have been giving her something to
12,40,there's a knocker if none of em haven't twisted it off,there's a knoctor if none of am hammen twisted it off
13,40,i promise you i will do you no harm,i promise you i will do you no harm
14,40,i could not help my friend,i could not hel my friend
15,40,two or three miles farther on is the main stronghold of the modocs held by them so long and defiantly against all the soldiers that could be brought to the attack,two or three miles for ther on is the main strongoled of the motocks held but ham so long and fianilly against all the soldiers that could be brought to the attack
16,40,she had lost him years and years before and now she saw him he was there and she knew him,she had lost him years and years before and now she saw him he was there and she knew him
17,40,but here the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at,but here the only thing that occurred to her was to stop and look in one of the shots till he should ask hor why she was looking at
18,40,if the original is still in the world i think he might defy the sun to make him look stern and hard,if the original is tol in the world i think he might defie the son to make him look turn and heart
19,40,ah but these hens answered the young man these hens of aristocratic lineage would scorn to understand the vulgar language of a barn yard fowl,ah but these hents answerd the young man thesinds te baristocratic liniage wicd scorn to understand the vogcan language of a bon yord fouts
20,40,miss woodley obediently sat down and though her thoughts and heart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered,ose wedle obediently sat down and though her thoughts and hart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered
21,40,perhaps you could put on your coat and walk out with me for a few minutes said trevelyan,perhaps he could put on your coat and walk out with me for a few minutes sat rmalion
22,40,rhein and moselle eighteen ninety three,fryind a moze eighteen ninety three
23,40,to the pickle add two large onions cut in quarters two fresh carrots and about one ounce of mixed whole allspice black peppers cloves and bay leaves,through the pickle and two larg gonian's cut in quarters to fish ceares and about one ounce of nixed wlilaspice whatk pepper's clotes and bay laves
24,40,that last fellow you had ought to have been tied up himself,tat lastfell you had ot to ahve been tiht of himself
25,40,another flogging to morrow said he grumblingly,another flogging to morrow said he grumblingly
26,40,i'll teach my prisoners to attempt suicide,i'll teach my prisoners to attempt su acide
27,40,only unfortunately his own work never does get good,only and fortunately his own work never does get good
28,40,he was in reverie sliding along the borders of consciousness,he was in griverry spiningho on the borders of consciousness
29,40,illustration pestle and mortar,ilustration pestelan mornar
30,40,french forcemeat,french forced meet
31,40,fortunately will halley was not a man in a hurry and did not use a press of canvas or his masts would inevitably have come down,fortunately will halleyed was not a man in a hurry an did not use appressive can rits or is maswordi im evirtably have come nown
32,40,sufficient allow two crumpets to each person,sufficient allow two crumpids to each person
33,40,seventeen twenty four,seventeen twenty four
34,40,two days afterwards our nocturnal orgy began to be talked of,two days afterwards are anocturnal orgi began to be talked of
35,40,inside a secret rocket telemetering device was mounted on its test stand,the inside a secret rocket tell the metering device was mounterd non its testand
36,40,send my soul clean to asura,said my soul clean to assurea
37,40,bennet will take the garden and green house off my hands this autumn for a year or longer if i like,then it will take the gardernment  gene house off my hencshe sautum fora ear longer of i like
38,40,so to the road thou shalt be reconciled and find the lady and with the lady love,so to the road tho shall be reconciled and find the lady and with the lady love
39,40,money is false and light unless it be bought by a man's own worthy qualities and blood is such that its corrupt disease and ignorant pretence are foul to see,money as fale and linktd unless it be bought i a man's ownworthy qualities and blood it such that its corrupts tiseaze and ignorat retentse or filed to see
40,40,i think i cannot go right for i either check myself till i'm downright cross to him or else i speak just natural and that's too kind and tender by half,i think i cannot go right for i ether check myself till i'm down right crossed i him oills i speak just netshril and nhat' to kind in tender by half
41,40,this is the problem of race,this is the problem of race
42,40,he's so far to the right of me that i can't reach him,he is so for to the riti metat i hant reach him
43,40,where are they asked the boy,where are ty ask the boy
44,40,jam exclaimed chunky stretching his neck and eyeing the dish longingly,jeum it exclaimed drumky's shrching is nic an ying  dish lingly
45,40,that boy hears too much of what is talked about here,that woy hears too much what is tapked atout here
46,40,a harsh laugh from comrade ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes,ha hoarse laugh rand commadassipan cut e tirate ded shorp in a sudden faltering of the tongue may be wldered unstubbiness with it postles moldly exulpid eyes
47,40,you know i'd get drafted in a year or two anyway,you know id de drapped in a year twilinei
48,40,she pointed into the gold cottonwood tree behind whose top we stood and said again what name,she pointed into the gold caugttonwiud tree behind his topwy stood and said again what name
49,40,and the captain of course concluded after having been introduced to kitty that missus norman was a widow,and the captain of course concluded after having been introducedh kitty that missus dorman was r widow
50,40,she shall have your message all that i can do to persuade her shall be done,she shall have your message all that i can doe to persuade her shall be done
51,40,yes miss clarke the middle aged lady with the parrishes,yes miss cark the midle aged a lady with the perishes
52,40,yes many times,yes many times
53,40,no a very natural one i should say,no a very natural one i wos ship say
54,40,the second was as if her flesh and bones had all been fashioned out of emerald the third appeared as snow but newly fallen,the second was as if her flesh and bone had all been fashioned out is emmireld the third appeared as snow but newly fallen
55,40,gentlemen he said in a hoarse voice give me your word of honor that this horrible secret shall forever remain buried amongst ourselves the two men drew back,gantlemen he set in the hoarse voice give me your wereivanar that this horrible secreshal for ever remain buried amongst ourselves the two men drew back
56,40,was there ever a happier man than joseph that night as he strode along the footpath,was there ever a happier man than josefh that night is e strode along the foot pats
57,40,we need kentucky and i understand that a very little more may bring the state to us go with your father i understand that you have been a brave young soldier here and may you do as well up there,weneed kentuckyand i understand that a very little more may bring the steet to us go with her father i understand that you have been a prave young soldier here and made you as well up there
58,40,he would make a famous scoundrel,he would make a famous coundrel
59,40,his hair having probably been dyed with some corrosive preparation had left it woolly and rough to the touch,his hair having popaly been died with some corosi preparation had left it wolly and rofht a the touch
60,40,it was the worst sunday he had spent in his life,it was the worsth tunday he had bent in his life
61,40,when hurstwood got back to his office again he was in a greater quandary than ever,when her slid got back to his office agan he was in a greater quandry than ever
62,40,what would she do about that the confounded wretch,what would you do about that the confended ranch
63,40,one who writes of such an era labours under a troublesome disadvantage,one who rights of such an her af labors under a trouble some disadvantage
64,40,here comes the snapping turtle,therefrom u stahappiturnal
65,40,grant acted as mustering officer until being commissioned colonel of the twenty first illinois volunteers he took the field,grant acted as mustering officer until bein commission colronel of though twenty first dillinoy bolman tears he took the field
66,40,the best of us are not exempt from egotistical thoughts,savastif us are notegsampt from egotistical thougts
67,40,this however may not be for the copyright will probably expire in a little over twelve years,this however maynatby for the copyrit will probably expire and a little over twelve years
68,40,this had some effect in calming him,is had temefsecting calming him
69,40,he nodded curtly and made for the door dodging acquaintances as he went,he nodded curtly and made for the door todging acquaintances as he went
70,40,don't cry don't cry he whispered,dont cry don't cry he whispered
71,40,oh bartley did you write to me,o bartly did you writ to me
72,40,the poor fellow stayed in that well all night,the four fellows stat in that well all night
73,35,from that hour dated one of the most sanguinary feuds in the history of the great trading company a feud which as we shall see was destined to live even unto the second generation,from the hour dated one  most sanguinary futed in the history of the great trating company a fewd which as we shall see was destined to live even unto the second generation
74,35,he says tide replied my uncle translating the danish word for my information,he says tied replied my uncle traimleing the danis word for a information
75,35,on the eleventh day we sighted cape portland over which towered mount myrdals yokul which the weather being clear we made out very readily,on the eleventh dey we cightod cape porlan or which toward mountain midual viocle which has the weather being clear we made out very readily
76,35,the people must wait outside for there is no room for them in the palace,the people mos way outside for there is no room for them in a talace
77,35,but men kept on fighting and robbing even while the rain was pouring down and the sea was coming up over the land,but men kept on fighting and robbing even while the rain was pouring down and the sea was coming up over the land
78,35,he passed through one apartment after another where were ladies and gentlemen asleep in their chairs or standing,he passed through one apartment after another where were ladys gentleman is sleep id neh airs are standing
79,35,who may condemn his superstition,who miht congan the sugestition
80,35,giving themselves up wholly to their grief they are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home,giving themselves uppoly to their grief they are na lart seran about in the earthic possession and ofting give oy all that they have to the first hommerge evin to their beds and their home
81,35,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times,iappoint ancemeo how this men that he was twenty for yours old that he must have been there on white man first came lest an from buffal in indian time
82,35,gradually relief came to all of us,gradually believ came to all of us
83,35,there she owns a cottage or it may be a pigstye for all i know,there she ons to cottage or it may be a pig stive or all i know
84,35,we have all been giving mary ann presents and i suppose you mister whiting have been giving her something too,we have all then giing maryan presents and i suppose you mister widing have been giving her something to
85,35,there's a knocker if none of em haven't twisted it off,there's a noctor if none of am hamen twisteded off
86,35,i promise you i will do you no harm,i poice you i will do you no harm
87,35,i could not help my friend,i could not held my friend
88,35,two or three miles farther on is the main stronghold of the modocs held by them so long and defiantly against all the soldiers that could be brought to the attack,two or three miles fur ther on is the main strong oll of nemotocs helled byt them so long anddfintly against all the soldiers that could be brought to the attack
89,35,she had lost him years and years before and now she saw him he was there and she knew him,she had lost him years and years before and now she sought him he was there and she knew him
90,35,but here the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at,but here the only thing that occurred to her was tostop and look in one of the shop till he should ask for whas she was looking at
91,35,if the original is still in the world i think he might defy the sun to make him look stern and hard,if the originalist to in the world i think he might defide a son to make him looks turn and hearten
92,35,ah but these hens answered the young man these hens of aristocratic lineage would scorn to understand the vulgar language of a barn yard fowl,ah but these hend answered the young man these in the barss to cratic liniage who scorn to understand the bogar linguage of a ban yor fouts
93,35,miss woodley obediently sat down and though her thoughts and heart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered,bisuenly obediently sat down and though perthoughts and hard were i the chamber of her friend she never marked by one impertinant word or by one line of her face the restraine she suffered
94,35,perhaps you could put on your coat and walk out with me for a few minutes said trevelyan,perhaps ye could put on your coat and walk out with me for a few minutes th set remallion
95,35,rhein and moselle eighteen ninety three,fryin and moszol eighteen ninety three
96,35,to the pickle add two large onions cut in quarters two fresh carrots and about one ounce of mixed whole allspice black peppers cloves and bay leaves,to the pickle and to aur gonions cut inquarters two fresh hearas and about one houns of mixd chalaspice blak pepper's clothes and bay lives
97,35,that last fellow you had ought to have been tied up himself,that last felli you had ought to have been tie o himselv
98,35,another flogging to morrow said he grumblingly,another floing to morrow said he  grumblingly
99,35,i'll teach my prisoners to attempt suicide,i'll teach my prisoners to attempt soicide
100,35,only unfortunately his own work never does get good,lonly and fortunately his own work never does get good
101,35,he was in reverie sliding along the borders of consciousness,he was in the rever slining go on the borders of consciousness
102,35,illustration pestle and mortar,elustration pestoll an mourder
103,35,french forcemeat,french force meat
104,35,fortunately will halley was not a man in a hurry and did not use a press of canvas or his masts would inevitably have come down,portinately will hallee was not a man in ha hurry and did not use oppressof candwrists or his mast wourde en evitably have come down
105,35,sufficient allow two crumpets to each person,sufficient allow two crobids to each person
106,35,seventeen twenty four,seven teen tweny four
107,35,two days afterwards our nocturnal orgy began to be talked of,two days afterwards are nacturnal orgy began to be talked of
108,35,inside a secret rocket telemetering device was mounted on its test stand,in side a secret rocket telle medering device was mount to on its testdand
109,35,send my soul clean to asura,said my soul clean to asurea
110,35,bennet will take the garden and green house off my hands this autumn for a year or longer if i like,ben it will take the gardeanmen the gree house off my hendstho satum for e air longer if i like
111,35,so to the road thou shalt be reconciled and find the lady and with the lady love,so to the rod nou shalt be reconciled and find the lady and with e lady love
112,35,money is false and light unless it be bought by a man's own worthy qualities and blood is such that its corrupt disease and ignorant pretence are foul to see,money as false and light a less it bet bought by aman's own worthy qualities and blood as such that its corrupts the zeaze in  ignorante pretens or file to sea
113,35,i think i cannot go right for i either check myself till i'm downright cross to him or else i speak just natural and that's too kind and tender by half,a think i cannot go right for i ither teck myself till him down right cross i hm oils i speak just nisral and nat to kind intendter by half
114,35,this is the problem of race,this is the problem on race
115,35,he's so far to the right of me that i can't reach him,heis sofar o the rit of me that i ha rech im
116,35,where are they asked the boy,where ar li asked the boy
117,35,jam exclaimed chunky stretching his neck and eyeing the dish longingly,jms exclaime cunys stritius tic in iein the dish liingly
118,35,that boy hears too much of what is talked about here,that boy heres too much what as talped aout here
119,35,a harsh laugh from comrade ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes,a harse lagh from commd asepan cut a tyrate ded short in a sutent faltering of the tongue nay bitlde un dubtiness with their postl's milnd ey exutad ees
120,35,you know i'd get drafted in a year or two anyway,you knowm i' god drapfed in an year otwo anyway
121,35,she pointed into the gold cottonwood tree behind whose top we stood and said again what name,she pointed into the gold cottoloud tree and behind hos topwy stood and sed again what name
122,35,and the captain of course concluded after having been introduced to kitty that missus norman was a widow,and the captain of course concluded after having been introduced kitty that missus dorman was witdow
123,35,she shall have your message all that i can do to persuade her shall be done,she shall have your message all that i con doe to persuaye her shall be done
124,35,yes miss clarke the middle aged lady with the parrishes,ye as miscrd the middle aged i lady with the perishes
125,35,yes many times,yes many times
126,35,no a very natural one i should say,no a very nantual one i wol should say
127,35,the second was as if her flesh and bones had all been fashioned out of emerald the third appeared as snow but newly fallen,the second wos as if her flesh and bone had all been fashioned out os averald the third appeared as snow but mili fallen
128,35,gentlemen he said in a hoarse voice give me your word of honor that this horrible secret shall forever remain buried amongst ourselves the two men drew back,gantleman he set in the horse oice give me youre wori ona that thes horrible seakert shal for ever remain baried amongst ourselves le two man drewback
129,35,was there ever a happier man than joseph that night as he strode along the footpath,was there ever a happier man than joseth that night is e strode along the footpass
130,35,we need kentucky and i understand that a very little more may bring the state to us go with your father i understand that you have been a brave young soldier here and may you do as well up there,we neet centuckiand i understand that a very little more ma bring the stete to us go with her father i understand that you have been a brave young soldier here and mad do as well up there
131,35,he would make a famous scoundrel,he would make a famous scoundgrel
132,35,his hair having probably been dyed with some corrosive preparation had left it woolly and rough to the touch,his hair having popaly been died with some caros if preparation had left it wolly and rughe to the touch
133,35,it was the worst sunday he had spent in his life,it was the worst banday he had sent in hislie
134,35,when hurstwood got back to his office again he was in a greater quandary than ever,whin her wod got back to his office again he was in a greater guandriy than ever
135,35,what would she do about that the confounded wretch,wha doud she do about that the conented retch
136,35,one who writes of such an era labours under a troublesome disadvantage,one who wrihts of such an er of labours under a trouble some disanvantage
137,35,here comes the snapping turtle,he're promsourti hap eterrnal
138,35,grant acted as mustering officer until being commissioned colonel of the twenty first illinois volunteers he took the field,graun acted as mustering off ic ar until being commission curnel of thu twenty first dill in oy bolanteers he took the field
139,35,the best of us are not exempt from egotistical thoughts,sybast of us are noddingsempte for egatistical thoughts
140,35,this however may not be for the copyright will probably expire in a little over twelve years,i however men natpy for the capi at will probably expire ind a little over twelve years
141,35,this had some effect in calming him,is at dom affecting calming him
142,35,he nodded curtly and made for the door dodging acquaintances as he went,he nodded curtly and made for the door dodging ancquaintances as he went
143,35,don't cry don't cry he whispered,don't cry don't cry he whispered
144,35,oh bartley did you write to me,o artly did you write to met
145,35,the poor fellow stayed in that well all night,the four falloh stay in that well all night
